,original_title,revenue,budget,profit,revenue_adj,budget_adj,profit_adj
0,Jurassic World,1513528810,150000000,1363528810,1392445892.5238,137999939.280026,1254445953.243774
1,Mad Max: Fury Road,378436354,150000000,228436354,348161292.489031,137999939.280026,210161353.20900503
2,Insurgent,295238201,110000000,185238201,271619025.407628,101199955.47201899,170419069.935609
3,Star Wars: The Force Awakens,2068178225,200000000,1868178225,1902723129.80182,183999919.040035,1718723210.761785
4,Furious 7,1506249360,190000000,1316249360,1385748801.47052,174799923.08803302,1210948878.382487
5,The Revenant,532950503,135000000,397950503,490314247.02173096,124199945.352024,366114301.66970694
6,Terminator Genisys,440603537,155000000,285603537,405355075.683766,142599937.256027,262755138.427739
7,The Martian,595380321,108000000,487380321,547749654.3101519,99359956.2816192,448389698.02853274
8,Minions,1156730962,74000000,1082730962,1064192016.7955099,68079970.0448131,996112046.7506969
9,Inside Out,853708609,175000000,678708609,785411574.698907,160999929.16003102,624411645.538876
10,Spectre,880674609,245000000,635674609,810220283.783075,225399900.824043,584820382.9590319
11,Jupiter Ascending,183987723,176000003,7987720,169268630.681802,161919931.51523,7348699.166572005
12,Ex Machina,36869414,15000000,21869414,33919845.9552677,13799993.9280026,20119852.027265098
13,Pixels,243637091,88000000,155637091,224146025.095748,80959964.37761559,143186060.71813244
14,Avengers: Age of Ultron,1405035767,280000000,1125035767,1292632336.88177,257599886.656049,1035032450.2257209
15,The Hateful Eight,155760117,44000000,111760117,143299244.588332,40479982.18880779,102819262.39952421
16,Taken 3,325771424,48000000,277771424,299709578.207785,44159980.5696085,255549597.6381765
17,Ant-Man,518602163,130000000,388602163,477113780.029936,119599947.376023,357513832.653913
18,Cinderella,542351353,95000000,447351353,498963025.21626794,87399961.54401691,411563063.67225105
19,The Hunger Games: Mockingjay - Part 2,650523427,160000000,490523427,598481289.508232,147199935.232028,451281354.276204
20,Tomorrowland,209035668,190000000,19035668,192312729.942398,174799923.08803302,17512806.85436499
21,Southpaw,91709827,30000000,61709827,84373003.7158783,27599987.856005296,56773015.859873
22,San Andreas,470490832,110000000,360490832,432851374.985395,101199955.47201899,331651419.513376
23,Fifty Shades of Grey,569651467,40000000,529651467,524079119.045187,36799983.808007106,487279135.2371799
24,The Big Short,133346506,28000000,105346506,122678731.54135801,25759988.665604897,96918742.8757531
25,Mission: Impossible - Rogue Nation,682330139,150000000,532330139,627743451.672881,137999939.280026,489743512.39285505
26,Ted 2,215863606,68000000,147863606,198594430.13845,62559972.4736121,136034457.6648379
27,Kingsman: The Secret Service,403802136,81000000,322802136,371497801.660967,74519967.21121441,296977834.44975257
28,Spotlight,88346473,20000000,68346473,81278719.39736341,18399991.9040035,62878727.49335991
29,Maze Runner: The Scorch Trials,311256926,61000000,250256926,286356245.923251,56119975.30721079,230236270.61604017
30,Mr. Holmes,29355203,0,29355203,27006774.877019,0.0,27006774.877019
31,Chappie,102069268,49000000,53069268,93903685.2423785,45079980.164808705,48823705.0775698
32,Pitch Perfect 2,287506194,29000000,258506194,264505582.09754303,26679988.260805104,237825593.83673793
33,Bridge of Spies,162610473,40000000,122610473,149601569.335309,36799983.808007106,112801585.5273019
34,Goosebumps,150170815,58000000,92170815,138157089.01088,53359976.5216103,84797112.4892697
35,Room,35401758,6000000,29401758,32569603.029374603,5519997.57120106,27049605.458173543
36,Solace,22354572,0,22354572,20566197.1908732,0.0,20566197.1908732
37,The Good Dinosaur,331926147,175000000,156926147,305371920.876354,160999929.16003102,144371991.71632296
38,Run All Night,71561644,50000000,21561644,65836683.5118592,45999979.7600089,19836703.7518503
39,Brooklyn,62076141,11000000,51076141,57110024.5915891,10119995.5472019,46990029.0443872
40,Straight Outta Compton,201634991,28000000,173634991,185504110.098191,25759988.665604897,159744121.4325861
41,The Last Witch Hunter,140396650,90000000,50396650,129164861.16746101,82799963.56801601,46364897.599445
42,Steve Jobs,34441873,30000000,4441873,31686509.2179359,27599987.856005296,4086521.361930605
43,The Man from U.N.C.L.E.,108145109,75000000,33145109,99493456.50287908,68999969.64001329,30493486.86286579
44,The Age of Adaline,42629776,25000000,17629776,39219376.6634742,22999989.8800044,16219386.783469804
45,Hardcore Henry,14333790,10000000,4333790,13187080.9976843,9199995.95200178,3987085.0456825197
46,Home,368871007,135000000,233871007,339361177.121082,124199945.352024,215161231.769058
47,Paper Towns,85512300,12000000,73512300,78671281.38463621,11039995.1424021,67631286.24223411
48,Wild Card,0,30000000,-30000000,0.0,27599987.856005296,-27599987.856005296
49,The Lobster,9064511,4000000,5064511,8339346.45068756,3679998.38080071,4659348.06988685
50,Carol,40272135,11800000,28472135,37050347.8978469,10855995.2233621,26194352.6744848
51,The Intern,194564672,35000000,159564672,178999419.480255,32199985.8320062,146799433.6482488
52,Everest,203427584,55000000,148427584,187153294.93255,50599977.7360098,136553317.1965402
53,Joy,101134059,60000000,41134059,93043293.3409509,55199975.71201059,37843317.628940314
54,Point Break,133718711,105000000,28718711,123021159.990689,96599957.49601871,26421202.494670287
55,Burnt,36606743,20000000,16606743,33678188.7415969,18399991.9040035,15278196.837593399
56,Self/less,30523226,26000000,4523226,28081355.564203497,23919989.475204602,4161366.088998895
